sample_id,target_byte,repeat,timing_ns,target_bit,key_id
71,101,11,23000,1,3
72,101,12,26208,1,3
242,138,2,27041,0,12
313,122,13,27416,0,15
345,217,5,27666,1,17
351,217,11,27375,1,17
352,217,12,24541,1,17
388,236,8,23291,0,19
389,236,9,24291,0,19
424,95,4,28625,1,21
425,95,5,24375,1,21
427,95,7,28041,1,21
435,95,15,28791,1,21
460,8,0,28000,0,23
465,8,5,28791,0,23
466,8,6,27041,0,23
468,8,8,28291,0,23
475,8,15,25958,0,23
476,8,16,24125,0,23
478,8,18,25458,0,23
479,8,19,25541,0,23
480,3,0,22500,1,24
483,3,3,26250,1,24
484,3,4,23208,1,24
486,3,6,26708,1,24
487,3,7,22666,1,24
489,3,9,27041,1,24
504,163,4,28250,1,25
513,163,13,25791,1,25
518,163,18,27500,1,25
519,163,19,27250,1,25
520,239,0,22875,1,26
523,239,3,27583,1,26
526,239,6,28041,1,26
532,239,12,28291,1,26
534,239,14,23291,1,26
535,239,15,24791,1,26
537,239,17,28166,1,26
539,239,19,23666,1,26
550,49,10,28125,1,27
552,49,12,28166,1,27
556,49,16,24708,1,27
558,49,18,24083,1,27
563,100,3,25000,0,28
566,100,6,28250,0,28
576,100,16,28125,0,28
577,100,17,24291,0,28
578,100,18,23208,0,28
599,88,19,23166,0,29
648,127,8,26916,1,32
652,127,12,28291,1,32
681,17,1,26583,1,34
682,17,2,28708,1,34
683,17,3,23791,1,34
685,17,5,27875,1,34
696,17,16,27333,1,34
730,170,10,25416,0,36
731,170,11,26833,0,36
737,170,17,27291,0,36
757,211,17,28583,1,37
766,221,6,27958,1,38
770,221,10,28708,1,38
771,221,11,23208,1,38
823,97,3,28500,1,41
824,97,4,26333,1,41
828,97,8,27375,1,41
830,97,10,28291,1,41
837,97,17,28041,1,41
841,2,1,26458,0,42
845,2,5,22625,0,42
854,2,14,23666,0,42
856,2,16,27208,0,42
858,2,18,26750,0,42
883,237,3,26000,1,44
887,237,7,28458,1,44
888,237,8,25875,1,44
891,237,11,25041,1,44
896,237,16,24125,1,44
898,237,18,25708,1,44
899,237,19,22416,1,44
940,250,0,22958,0,47
941,250,1,25666,0,47
944,250,4,26583,0,47
947,250,7,27458,0,47
948,250,8,22333,0,47
949,250,9,24541,0,47
951,250,11,28416,0,47
953,250,13,25916,0,47
954,250,14,23291,0,47
961,97,1,24125,1,48
962,97,2,27125,1,48
965,97,5,24083,1,48
966,97,6,26291,1,48
969,97,9,26166,1,48
971,97,11,22625,1,48
977,97,17,26083,1,48
979,97,19,27833,1,48
982,208,2,27750,0,49
983,208,3,27458,0,49
985,208,5,28375,0,49
986,208,6,26750,0,49
987,208,7,25791,0,49
989,208,9,27666,0,49
992,208,12,24000,0,49
995,208,15,27416,0,49
998,208,18,23833,0,49
1000,114,0,28375,0,50
1001,114,1,27875,0,50
1005,114,5,26375,0,50
1029,240,9,27708,0,51
1038,240,18,28833,0,51
1039,240,19,27500,0,51
1040,146,0,26708,0,52
1041,146,1,23500,0,52
1052,146,12,24958,0,52
1053,146,13,27458,0,52
1055,146,15,27208,0,52
1056,146,16,24708,0,52
1063,195,3,22875,1,53
1066,195,6,22625,1,53
1067,195,7,23750,1,53
1069,195,9,22750,1,53
1076,195,16,25083,1,53
1080,37,0,28625,1,54
1086,37,6,28750,1,54
1088,37,8,25291,1,54
1092,37,12,27625,1,54
1093,37,13,23875,1,54
1095,37,15,23541,1,54
1098,37,18,24125,1,54
1140,158,0,26458,0,57
1141,158,1,26958,0,57
1142,158,2,22500,0,57
1144,158,4,25500,0,57
1146,158,6,28416,0,57
1147,158,7,27708,0,57
1149,158,9,26500,0,57
1150,158,10,27500,0,57
1151,158,11,25125,0,57
1154,158,14,28750,0,57
1156,158,16,22833,0,57
1157,158,17,23666,0,57
1160,85,0,27875,1,58
1162,85,2,24500,1,58
1165,85,5,22750,1,58
1169,85,9,26958,1,58
1170,85,10,24500,1,58
1178,85,18,24791,1,58
1202,239,2,25083,1,60
1205,239,5,24166,1,60
1213,239,13,28541,1,60
1218,239,18,27833,1,60
1227,32,7,24875,0,61
1229,32,9,27875,0,61
1235,32,15,22750,0,61
1242,212,2,24125,0,62
1244,212,4,26625,0,62
1247,212,7,27583,0,62
1251,212,11,25125,0,62
1254,212,14,22791,0,62
1256,212,16,26041,0,62
1258,212,18,28583,0,62
1283,49,3,22916,1,64
1285,49,5,22750,1,64
1287,49,7,23791,1,64
1331,123,11,28541,1,66
1332,123,12,28041,1,66
1333,123,13,28625,1,66
1337,123,17,25416,1,66
1346,183,6,26000,1,67
1351,183,11,27750,1,67
1355,183,15,27750,1,67
1357,183,17,23000,1,67
1359,183,19,22958,1,67
1380,90,0,26375,0,69
1381,90,1,24166,0,69
1385,90,5,27333,0,69
1389,90,9,24541,0,69
1390,90,10,27916,0,69
1395,90,15,27291,0,69
1398,90,18,26375,0,69
1399,90,19,28250,0,69
1437,173,17,27583,1,71
1438,173,18,22708,1,71
1439,173,19,22250,1,71
1481,180,1,23625,0,74
1489,180,9,25416,0,74
1495,180,15,23791,0,74
1496,180,16,27958,0,74
1497,180,17,26458,0,74
1498,180,18,22541,0,74
1499,180,19,28833,0,74
1501,228,1,24208,0,75
1504,228,4,26708,0,75
1505,228,5,28750,0,75
1508,228,8,27166,0,75
1513,228,13,26166,0,75
1515,228,15,23041,0,75
1517,228,17,24500,0,75
1620,161,0,22791,1,81
1622,161,2,25333,1,81
1626,161,6,26166,1,81
1627,161,7,24541,1,81
1630,161,10,23708,1,81
1640,5,0,28500,1,82
1641,5,1,28750,1,82
1646,5,6,28583,1,82
1647,5,7,28041,1,82
1648,5,8,27083,1,82
1654,5,14,27625,1,82
1656,5,16,25916,1,82
1658,5,18,22875,1,82
1703,210,3,22875,0,85
1713,210,13,28208,0,85
1717,210,17,24833,0,85
1720,45,0,26791,1,86
1721,45,1,28458,1,86
1728,45,8,24666,1,86
1733,45,13,22833,1,86
1738,45,18,26958,1,86
1739,45,19,25791,1,86
1749,109,9,26958,1,87
1756,109,16,22708,1,87
1764,101,4,23666,1,88
1771,101,11,26791,1,88
1778,101,18,27000,1,88
1780,10,0,27083,0,89
1788,10,8,27291,0,89
1789,10,9,22500,0,89
1791,10,11,25708,0,89
1802,255,2,27083,1,90
1805,255,5,25666,1,90
1812,255,12,26375,1,90
1814,255,14,28583,1,90
1815,255,15,23416,1,90
1819,255,19,27791,1,90
1820,55,0,27500,1,91
1822,55,2,28000,1,91
1824,55,4,25375,1,91
1825,55,5,25041,1,91
1826,55,6,28833,1,91
1827,55,7,25250,1,91
1831,55,11,26041,1,91
1833,55,13,27708,1,91
1835,55,15,23833,1,91
1836,55,16,23041,1,91
1839,55,19,28375,1,91
1843,183,3,26166,1,92
1846,183,6,28125,1,92
1850,183,10,28333,1,92
1852,183,12,25041,1,92
1853,183,13,25333,1,92
1881,88,1,28208,0,94
1884,88,4,28666,0,94
1885,88,5,26833,0,94
1908,175,8,24958,1,95
1914,175,14,23416,1,95
1915,175,15,22875,1,95
1916,175,16,25791,1,95
1931,149,11,23583,1,96
1937,149,17,28250,1,96
1941,210,1,28166,0,97
1944,210,4,23125,0,97
1948,210,8,23166,0,97
1951,210,11,28166,0,97
1952,210,12,28500,0,97
1953,210,13,27250,0,97
1962,138,2,26083,0,98
1969,138,9,26000,0,98
1980,251,0,27166,1,99
1982,251,2,23791,1,99
1983,251,3,28250,1,99
1995,251,15,28666,1,99
1996,251,16,28625,1,99
2152,84,12,28666,0,107
2170,194,10,27916,0,108
2190,27,10,22875,1,109
2191,27,11,22500,1,109
2445,123,5,26000,1,122
2828,206,8,28833,0,141
2857,21,17,27000,1,142
2879,240,19,23666,0,143
2896,37,16,25083,1,144
2942,123,2,28416,1,147
2983,2,3,24500,0,149
2999,2,19,25625,0,149
3005,150,5,26041,0,150
3013,150,13,27250,0,150
3019,150,19,26291,0,150
3033,255,13,28625,1,151
3034,255,14,28041,1,151
3037,255,17,28833,1,151
3038,255,18,25333,1,151
3041,29,1,25708,1,152
3042,29,2,27458,1,152
3051,29,11,26291,1,152
3052,29,12,28375,1,152
3056,29,16,26500,1,152
3067,46,7,25458,0,153
3069,46,9,22708,0,153
3073,46,13,27500,0,153
3076,46,16,23041,0,153
3084,213,4,27208,1,154
3086,213,6,25625,1,154
3090,213,10,26166,1,154
3093,213,13,27333,1,154
3121,66,1,27833,0,156
3127,66,7,28125,0,156
3132,66,12,24125,0,156
3140,241,0,28416,1,157
3144,241,4,22666,1,157
3145,241,5,22500,1,157
3147,241,7,22791,1,157
3150,241,10,24083,1,157
3152,241,12,24250,1,157
3155,241,15,27583,1,157
3157,241,17,23083,1,157
3159,241,19,28333,1,157
3164,155,4,27291,1,158
3171,155,11,25208,1,158
3173,155,13,23708,1,158
3176,155,16,28333,1,158
3215,84,15,24916,0,160
3217,84,17,28458,0,160
3237,164,17,26250,0,161
3346,89,6,26875,1,167
3354,89,14,23500,1,167
3375,85,15,28041,1,168
3384,96,4,28416,0,169
3386,96,6,25000,0,169
3407,115,7,26625,1,170
3410,115,10,28625,1,170
3412,115,12,26583,1,170
3415,115,15,26625,1,170
3421,231,1,26708,1,171
3427,231,7,25791,1,171
3438,231,18,28708,1,171
3439,231,19,23625,1,171
3449,226,9,27791,0,172
3451,226,11,27541,0,172
3452,226,12,23958,0,172
3456,226,16,25583,0,172
3480,72,0,25125,0,174
3517,186,17,22416,0,175
3519,186,19,26333,0,175
3520,112,0,26250,0,176
3522,112,2,27541,0,176
3524,112,4,26958,0,176
3527,112,7,25958,0,176
3529,112,9,28208,0,176
3534,112,14,26000,0,176
3535,112,15,24458,0,176
3540,124,0,27750,0,177
3541,124,1,26250,0,177
3543,124,3,28375,0,177
3546,124,6,28000,0,177
3547,124,7,27833,0,177
3551,124,11,27666,0,177
3552,124,12,27666,0,177
3553,124,13,24458,0,177
3556,124,16,28541,0,177
3561,218,1,24833,0,178
3567,218,7,28208,0,178
3584,166,4,22750,0,179
3590,166,10,26541,0,179
3593,166,13,28000,0,179
3602,119,2,28291,1,180
3609,119,9,25625,1,180
3610,119,10,26958,1,180
3618,119,18,28500,1,180
3620,37,0,25583,1,181
3633,37,13,28833,1,181
3636,37,16,28291,1,181
3771,217,11,27750,1,188
3807,64,7,28083,0,190
3810,64,10,25750,0,190
3821,43,1,28666,1,191
3846,202,6,25500,0,192
3849,202,9,26166,0,192
3850,202,10,23708,0,192
3853,202,13,26416,0,192
3856,202,16,26083,0,192
3912,61,12,26833,1,195
3915,61,15,28375,1,195
3916,61,16,25875,1,195
3917,61,17,27125,1,195
3919,61,19,22750,1,195
3942,223,2,28500,1,197
3944,223,4,27875,1,197
3959,223,19,25666,1,197
3967,178,7,24250,0,198
3968,178,8,22458,0,198
3972,178,12,22791,0,198
3973,178,13,23958,0,198
3975,178,15,28041,0,198
3977,178,17,23000,0,198
3980,112,0,28208,0,199
3990,112,10,26375,0,199
4002,178,2,24500,0,200
4017,178,17,28416,0,200
4022,55,2,25708,1,201
4023,55,3,26791,1,201
4026,55,6,24000,1,201
4027,55,7,23000,1,201
4028,55,8,24208,1,201
4040,244,0,24500,0,202
4042,244,2,27666,0,202
4045,244,5,26708,0,202
4049,244,9,23916,0,202
4054,244,14,25250,0,202
4059,244,19,24375,0,202
4114,161,14,28416,1,205
4341,52,1,26958,0,217
4577,146,17,25666,0,228
4583,114,3,28583,0,229
4586,114,6,28500,0,229
4600,110,0,26625,0,230
4606,110,6,22541,0,230
4610,110,10,23541,0,230
4629,208,9,23375,0,231
4638,208,18,22833,0,231
4667,124,7,26500,0,233
4669,124,9,28750,0,233
4732,103,12,24541,1,236
4844,83,4,27416,1,242
5211,173,11,27958,1,260
5214,173,14,27750,1,260
5216,173,16,27916,1,260
5273,78,13,24708,0,263
5305,60,5,27708,0,265
5346,218,6,28833,0,267
5375,133,15,25916,1,268
5396,155,16,27458,1,269
5491,245,11,28791,1,274
5523,93,3,23666,1,276
5535,93,15,28416,1,276
5538,93,18,27375,1,276
5583,29,3,28291,1,279
5625,182,5,27750,0,281
5669,102,9,24333,0,283
5694,93,14,27458,1,284
5701,109,1,28791,1,285
5710,109,10,25958,1,285
5744,167,4,27625,1,287
5754,167,14,23708,1,287
5759,167,19,26791,1,287
5791,149,11,27000,1,289
5829,168,9,27666,0,291
5833,168,13,23833,0,291
5840,144,0,28791,0,292
5844,144,4,25416,0,292
5845,144,5,22708,0,292
5904,206,4,24000,0,295
5909,206,9,27833,0,295
5948,199,8,23375,1,297
5950,199,10,22958,1,297
5958,199,18,25208,1,297
5961,11,1,25708,1,298
5971,11,11,25875,1,298
5972,11,12,26916,1,298
5983,180,3,28791,0,299
5994,180,14,28833,0,299
6003,7,3,24875,1,300
6004,7,4,26916,1,300
6006,7,6,23333,1,300
6034,13,14,23041,1,301
6051,8,11,28625,0,302
6065,74,5,26333,0,303
6069,74,9,28791,0,303
6071,74,11,26208,0,303
6078,74,18,23958,0,303
6103,118,3,28583,0,305
6104,118,4,28375,0,305
6109,118,9,25750,0,305
6114,118,14,26208,0,305
6126,149,6,28833,1,306
6132,149,12,27458,1,306
6134,149,14,28625,1,306
6137,149,17,24458,1,306
6143,6,3,27708,0,307
6155,6,15,26708,0,307
6157,6,17,28500,0,307
6158,6,18,26791,0,307
6160,195,0,23958,1,308
6162,195,2,27833,1,308
6163,195,3,28666,1,308
6170,195,10,28708,1,308
6188,65,8,27708,1,309
6223,23,3,28833,1,311
6240,19,0,26916,1,312
6242,19,2,24291,1,312
6308,235,8,28125,1,315
6309,235,9,25791,1,315
6316,235,16,24125,1,315
6317,235,17,22833,1,315
6362,147,2,27666,1,318
6364,147,4,25958,1,318
6378,147,18,24416,1,318
6381,56,1,26791,0,319
6398,56,18,23125,0,319
6399,56,19,24000,0,319
6405,17,5,28125,1,320
6414,17,14,27375,1,320
6415,17,15,22958,1,320
6417,17,17,26541,1,320
6441,65,1,27375,1,322
6444,65,4,26625,1,322
6454,65,14,24750,1,322
6459,65,19,28791,1,322
6492,89,12,27000,1,324
6498,89,18,27041,1,324
6499,89,19,25083,1,324
6500,53,0,28000,1,325
6526,203,6,23916,1,326
6533,203,13,25541,1,326
6541,88,1,26041,0,327
6542,88,2,28625,0,327
6548,88,8,24666,0,327
6554,88,14,27166,0,327
6562,203,2,27958,1,328
6564,203,4,27291,1,328
6580,92,0,28375,0,329
6591,92,11,27500,0,329
6592,92,12,27041,0,329
6763,232,3,25458,0,338
6881,243,1,27791,1,344
6899,243,19,25958,1,344
7064,2,4,24041,0,353
7108,111,8,27375,1,355
7111,111,11,26958,1,355
7254,161,14,26958,1,362
7290,93,10,28083,1,364
7292,93,12,24208,1,364
7311,142,11,25583,0,365
7320,217,0,22916,1,366
7327,217,7,24250,1,366
7338,217,18,26833,1,366
7341,160,1,23791,0,367
7364,83,4,22791,1,368
7366,83,6,24833,1,368
7375,83,15,24458,1,368
7377,83,17,24291,1,368
7442,11,2,26541,1,372
7529,130,9,23875,0,376
7584,150,4,28000,0,379
7585,150,5,24541,0,379
7590,150,10,26375,0,379
7607,42,7,28666,0,380
7609,42,9,28041,0,380
7616,42,16,24041,0,380
7661,232,1,25958,0,383
7663,232,3,27916,0,383
7666,232,6,27208,0,383
7678,232,18,28416,0,383
7679,232,19,24750,0,383
7702,36,2,27750,0,385
7711,36,11,24833,0,385
7718,36,18,27208,0,385
7722,226,2,28458,0,386
7723,226,3,27833,0,386
7730,226,10,28708,0,386
7731,226,11,24833,0,386
7734,226,14,25666,0,386
7739,226,19,26208,0,386
7744,34,4,25708,0,387
7968,11,8,25875,1,398
8340,28,0,27208,0,417
8344,28,4,22500,0,417
8346,28,6,25375,0,417
8350,28,10,25250,0,417
8382,242,2,27666,0,419
8394,242,14,26625,0,419
8399,242,19,27708,0,419
8477,219,17,23833,1,423
8489,103,9,27708,1,424
8513,111,13,28125,1,425
8542,98,2,27166,0,427
8549,98,9,27000,0,427
8564,97,4,24250,1,428
8570,97,10,26166,1,428
8616,36,16,27541,0,430
8650,41,10,27625,1,432
8651,41,11,24958,1,432
8654,41,14,24583,1,432
8661,168,1,25458,0,433
8662,168,2,26125,0,433
8670,168,10,27166,0,433
8677,168,17,26166,0,433
8686,117,6,27458,1,434
8689,117,9,28333,1,434
8693,117,13,27916,1,434
8702,94,2,28000,0,435
8709,94,9,23666,0,435
8713,94,13,25291,0,435
8758,206,18,27958,0,437
8763,163,3,24333,1,438
9099,83,19,28208,1,454
9102,51,2,28416,1,455
9118,51,18,27333,1,455
9126,117,6,28500,1,456
9481,254,1,25666,0,474
9521,57,1,27541,1,476
9531,57,11,27458,1,476
9532,57,12,24875,1,476
9534,57,14,27875,1,476
9535,57,15,27708,1,476
9536,57,16,25916,1,476
9551,44,11,25333,0,477
9555,44,15,28583,0,477
9556,44,16,22500,0,477
9557,44,17,22583,0,477
9558,44,18,22208,0,477
9559,44,19,22291,0,477
9561,250,1,25125,0,478
9562,250,2,28041,0,478
9564,250,4,28416,0,478
9566,250,6,22666,0,478
9573,250,13,28041,0,478
9576,250,16,23125,0,478
9578,250,18,22791,0,478
9579,250,19,27625,0,478
9581,15,1,27250,1,479
9583,15,3,26291,1,479
9584,15,4,22958,1,479
9586,15,6,24000,1,479
9587,15,7,26083,1,479
9588,15,8,22916,1,479
9595,15,15,27750,1,479
9596,15,16,26166,1,479
9597,15,17,26416,1,479
9601,41,1,26833,1,480
9606,41,6,28750,1,480
9607,41,7,28750,1,480
9615,41,15,26958,1,480
9618,41,18,25083,1,480
9624,114,4,23208,0,481
9626,114,6,22750,0,481
9628,114,8,26291,0,481
9629,114,9,22208,0,481
9634,114,14,27041,0,481
9637,114,17,28041,0,481
9638,114,18,26708,0,481
9639,114,19,28333,0,481
9680,152,0,26750,0,484
9681,152,1,25916,0,484
9682,152,2,24666,0,484
9683,152,3,25958,0,484
9686,152,6,23416,0,484
9692,152,12,25708,0,484
9693,152,13,25750,0,484
9694,152,14,22166,0,484
9697,152,17,27916,0,484
9720,248,0,28500,0,486
9721,248,1,28750,0,486
9723,248,3,28750,0,486
9724,248,4,25416,0,486
9725,248,5,28833,0,486
9727,248,7,28375,0,486
9729,248,9,23500,0,486
9732,248,12,26250,0,486
9735,248,15,25083,0,486
9737,248,17,26583,0,486
9740,3,0,25416,1,487
9750,3,10,25333,1,487
9753,3,13,26416,1,487
9754,3,14,22750,1,487
9757,3,17,28166,1,487
9758,3,18,28625,1,487
9780,79,0,25041,1,489
9784,79,4,24625,1,489
9791,79,11,28166,1,489
9797,79,17,25208,1,489
9799,79,19,22750,1,489
9845,73,5,27458,1,492
9852,73,12,25500,1,492
9854,73,14,27583,1,492
9857,73,17,24291,1,492
9858,73,18,24583,1,492
9861,206,1,25375,0,493
9864,206,4,25875,0,493
9865,206,5,24666,0,493
9867,206,7,28000,0,493
9869,206,9,23041,0,493
9870,206,10,22750,0,493
9872,206,12,22583,0,493
9874,206,14,25916,0,493
9879,206,19,24916,0,493
9921,37,1,28458,1,496
9922,37,2,23875,1,496
9923,37,3,25250,1,496
9925,37,5,28750,1,496
9927,37,7,27666,1,496
9928,37,8,22458,1,496
9929,37,9,27333,1,496
9932,37,12,23000,1,496
9934,37,14,22625,1,496
9936,37,16,27666,1,496
9960,143,0,26083,1,498
9961,143,1,24333,1,498
9962,143,2,26166,1,498
9963,143,3,25708,1,498
9964,143,4,23416,1,498
9967,143,7,26625,1,498
9969,143,9,27625,1,498
9970,143,10,22833,1,498
9972,143,12,26750,1,498
9973,143,13,22583,1,498
9974,143,14,28250,1,498
9977,143,17,26416,1,498
